"UUID du flux";"Nom du flux";Commentaire;Type;"Catégorie 1";"Catégorie 2";"Catégorie 3";"Quantité de référence";Unité
"Flow UUID";"Flow name";Comment;Type;"Category 1";"Category 2";"Category 3";"Reference quantity";Unit
1bf85d1d-0b66-4476-99f9-2d69e0b019b3;"Hard coal, at consumer EU-27";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
4f19a2f7-7b3b-11dd-ad8b-0800200c9a66;"heavy fuel oil";;"Product flow";;;;1;kg
48dcbddf-4bbc-4c90-a292-a38bd4448e7a;"Copper wire";;"Product flow";"Valuable substances";Materials;Metals;1;kg
4f19ca05-7b3b-11dd-ad8b-0800200c9a66;"lightweight concrete block";;"Product flow";;;;1;kg
4f19a2f4-7b3b-11dd-ad8b-0800200c9a66;"ethene (ethylene)";;"Product flow";;;;1;kg
3a8411b6-e476-4f98-9d77-0d492661a07f;water;;"Product flow";;;;1;kg
c9188fde-4b02-4f1f-b8be-ffe4675b5793;"Pickled hot rolled coil sludge";;"Product flow";;;;1;kg
439de0df-6861-4bb9-8ac6-7e94bbe9f284;Wood;;"Product flow";;;;1;kg
4f197be9-7b3b-11dd-ad8b-0800200c9a66;chlorine;;"Product flow";;;;1;kg
4f19a2fe-7b3b-11dd-ad8b-0800200c9a66;"gypsum stone (CaSO4-dihydrate)";;"Product flow";;;;1;kg
4f19f11a-7b3b-11dd-ad8b-0800200c9a66;"polyethylene terephthalate fibres (PET)";;"Product flow";;;;1;kg
4f19ca0e-7b3b-11dd-ad8b-0800200c9a66;"natural gas";;"Product flow";;;;1;kg
4f19a2fd-7b3b-11dd-ad8b-0800200c9a66;"gypsum plaster (CaSO4 beta hemihydrates)";;"Product flow";;;;1;kg
e80bed31-0499-4660-b9fb-f161b8eea835;"Sinter / Pellet Dust";;"Product flow";;;;1;kg
4f1a1838-7b3b-11dd-ad8b-0800200c9a66;sulphur;;"Product flow";;;;1;kg
4f19f117-7b3b-11dd-ad8b-0800200c9a66;"polyethylene low linear density granulate (PE-LLD)";;"Product flow";;;;1;kg
9ff114af-5db3-4512-b8a0-d6463d44e475;"BF Shop Dust";;"Product flow";;;;1;kg
de8e110e-4873-4557-8304-b924f92686df;"BOF Gas Dust";;"Product flow";;;;1;kg
4f197bea-7b3b-11dd-ad8b-0800200c9a66;"copper sheet";;"Product flow";;;;1;kg
4f1a3f35-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of municipal solid waste (MSW)";;"Product flow";;;;1;kg
d8f3f0c4-040d-4ac8-8015-2b61e1eb2e88;"BOF Slag";;"Product flow";;;;1;kg
4205c0c1-0fe9-414b-8359-5a9cbad19cee;"secondary fuel";;"Product flow";;;;1;MJ
4f19ca17-7b3b-11dd-ad8b-0800200c9a66;"particle board";;"Product flow";;;;1;kg
9b5fb8b6-a8f4-48d5-b912-56c65c0cc263;"Gasoline (regular)";;"Product flow";"Valuable substances";"Energy carrier";Fuels;1;kg
923fd725-d53a-438c-af51-24064c0778f5;"tall oil";;"Product flow";;;;1;kg
a14ba965-9cf1-4bc2-b3ab-1ec574cec88f;"Slag (Mn 6,5%)";;"Product flow";;;;1;kg
4f197be4-7b3b-11dd-ad8b-0800200c9a66;"aluminium sheet";;"Product flow";;;;1;kg
4f1a1837-7b3b-11dd-ad8b-0800200c9a66;"steel rebar";;"Product flow";;;;1;kg
4f197be8-7b3b-11dd-ad8b-0800200c9a66;"calcium silicate";;"Product flow";;;;1;kg
3c6973a0-916b-4a04-923f-de0356448088;"Gypsum plasterboard";;"Product flow";;;;1;m2
4f1a3f3d-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of textile fraction in municipal solid waste (MSW)";;"Product flow";;;;1;kg
4f19f11c-7b3b-11dd-ad8b-0800200c9a66;"polypropylene fibres (PP)";;"Product flow";;;;1;kg
a0d612ff-626c-440a-a4ce-c3283571c520;"PCC dry";;"Product flow";"Valuable substances";Materials;Minerals;1;kg
4f19ca18-7b3b-11dd-ad8b-0800200c9a66;"pine log with bark";;"Product flow";;;;1;kg
4f1a3f39-7b3b-11dd-ad8b-0800200c9a66;"waste incineration of plastics (PE, PP, PS, PB)";;"Product flow";;;;1;kg
4f19a2f3-7b3b-11dd-ad8b-0800200c9a66;"electricity mix";;"Product flow";;;;1;MJ
370085db-491b-45d3-84c8-4a590559e970;"BF Slag";;"Product flow";;;;1;kg
